condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
exhaustive,learner,0,0,1,greedy,train,300000,a2e065d23f7aecee9138574e37f41d77fa3878d8d9a52c07528d4894ee64988c,0,0,32,-0.3200000000000001,-0.16679999999999984,30,2,0,3,31,1,1,2.1264610000000035,30.529803758888857,32,0.9987129217249249,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
exhaustive,learner,0,0,1,greedy,train,300001,0cf36aff06abb4a68eab21a30777eef55f96dd214b149046d7f12d76b231fbc3,0,0,32,-0.3200000000000001,-0.011199999999999766,32,0,0,1,29,0,1,1.9272003067999988,29.25960684578194,32,1.017240480859721,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
exhaustive,learner,0,0,1,greedy,train,300002,0b5e9e4c989000689b8ed005d7d7924e3d2ba59382785877e47a67386596b9eb,0,0,32,-0.3200000000000001,-0.08959999999999986,30,2,0,3,30,1,1,2.0253134400000024,30.016342972600818,32,1.0094592493545327,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
exhaustive,learner,0,0,1,greedy,train,300003,1e007e7d67353f43defa80d77057c8eb59e811157dcc98b89c7578eb94b5917e,0,0,32,-0.3200000000000001,0.21920000000000023,30,2,0,3,26,1,1,1.6607194720456384,28.062660459534246,32,1.0387698279126734,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
exhaustive,learner,0,0,1,greedy,train,300004,316c8a2e26707d295eadf3b87b1108866936f0732d7646147c33ff22ed9c6f2e,0,1,2,0.98,1.0612,0,2,0,3,2,2,0,0.0,1.9847065994844533,2,0.9993514635136221,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
exhaustive,learner,0,0,1,greedy,train,300005,5e0d216c899c2ace218c9c5f8739265b4fc19ea98dbdf2c77826760222e0dab8,0,0,32,-0.3200000000000001,-0.16559999999999986,32,0,0,1,31,0,1,2.125270000000004,29.68736493927436,32,0.9924006343355272,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
exhaustive,learner,0,0,1,greedy,train,300006,25303ae48bb46a422255dec832239697971f1a68ec243d2f7021eab91d563dfa,0,0,32,-0.3200000000000001,0.1432000000000001,32,0,0,1,27,0,1,1.7451192870275363,28.246107947685775,32,1.0252223581366777,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
exhaustive,learner,0,0,1,greedy,train,300007,c11895ed5dc9d8a55ee92a31ff9877ba9bc0e6c1c7085d0551b7f2254774787c,0,0,32,-0.3200000000000001,-0.20280000000000004,31,1,0,2,32,1,1,2.191000000000002,31.156663947736035,32,1.019793707664256,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
exhaustive,learner,0,0,1,greedy,train,300008,da0724744462b3f72c32c9883f4409ca72c98372931d69ae87f432721e8f6e88,0,0,32,-0.3200000000000001,0.06200000000000008,30,2,0,3,27,0,1,1.8175529134212467,28.236704364059385,32,0.9935402594700193,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
exhaustive,learner,0,0,1,greedy,train,300009,5c77def9525b3183464d70346c00a715a6ed658131d7f9d725c5dcc4dc17db0a,0,0,32,-0.3200000000000001,-0.02399999999999991,28,4,0,5,27,0,1,1.8988190098806674,27.94025922033302,32,1.0012797767259525,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
